County,Year,Count,Median_Price
Longford,2022,549.0,140000.0
Longford,2023,494.0,165000.0
Longford,2024,352.0,170500.0
Louth,2010,539.0,170000.0
Louth,2011,462.0,137750.0
Louth,2012,669.0,110000.0
Louth,2013,766.0,107117.0
Louth,2014,1190.0,110565.5
Louth,2015,1292.0,129000.0
Louth,2016,1257.0,149779.0
Louth,2017,1372.0,180000.0
Louth,2018,1589.0,198000.0
Louth,2019,1730.0,202654.0
Louth,2020,1367.0,195000.0
Louth,2021,1702.0,220000.0
Louth,2022,1831.0,237841.0
Louth,2023,1796.0,270000.0
Louth,2024,1255.0,285000.0
Mayo,2010,424.0,150000.0
Mayo,2011,462.0,120000.0
Mayo,2012,592.0,93255.5
Mayo,2013,618.0,85000.0
Mayo,2014,1067.0,81000.0
Mayo,2015,1317.0,90000.0
Mayo,2016,1229.0,93000.0
Mayo,2017,1291.0,106000.0
Mayo,2018,1288.0,118000.0
Mayo,2019,1319.0,126750.0
Mayo,2020,1249.0,128000.0
Mayo,2021,1580.0,150000.0
Mayo,2022,1559.0,172500.0
Mayo,2023,1499.0,185000.0
Mayo,2024,1058.0,195000.0
Meath,2010,855.0,202643.0
Meath,2011,618.0,175500.0
Meath,2012,810.0,146500.0
Meath,2013,1004.0,137500.0
Meath,2014,1647.0,157000.0
Meath,2015,1660.0,189000.0
Meath,2016,1724.0,207500.0
Meath,2017,2357.0,232000.0
Meath,2018,2598.0,246000.0
Meath,2019,2700.0,262500.0
Meath,2020,2305.0,259911.0
Meath,2021,2611.0,277533.0
Meath,2022,2824.0,303965.0
Meath,2023,2766.0,321585.0
Meath,2024,1922.0,334801.0
Monaghan,2010,221.0,140000.0
Monaghan,2011,149.0,105000.0
Monaghan,2012,176.0,86500.0
Monaghan,2013,243.0,75000.0
Monaghan,2014,340.0,80000.0
Monaghan,2015,352.0,100000.0
Monaghan,2016,413.0,102000.0
Monaghan,2017,475.0,125000.0
Monaghan,2018,434.0,130000.0
Monaghan,2019,391.0,145000.0
Monaghan,2020,372.0,130000.0
Monaghan,2021,462.0,150000.0
Monaghan,2022,545.0,188000.0
Monaghan,2023,539.0,185000.0
Monaghan,2024,321.0,200000.0
Offaly,2010,243.0,145000.0
Offaly,2011,211.0,110000.0
Offaly,2012,298.0,105000.0
Offaly,2013,327.0,82500.0
Offaly,2014,503.0,100000.0
Offaly,2015,581.0,92500.0
Offaly,2016,622.0,100000.0
Offaly,2017,692.0,130000.0
Offaly,2018,662.0,146100.0
Offaly,2019,705.0,150000.0
Offaly,2020,641.0,162500.0
Offaly,2021,807.0,180000.0
Offaly,2022,932.0,216134.0
Offaly,2023,876.0,225000.0
Offaly,2024,667.0,242000.0
Roscommon,2010,286.0,127376.5
Roscommon,2011,233.0,100000.0
Roscommon,2012,361.0,75000.0
Roscommon,2013,518.0,60396.5
Roscommon,2014,569.0,60000.0
Roscommon,2015,723.0,65000.0
Roscommon,2016,685.0,71000.0
Roscommon,2017,739.0,85000.0
Roscommon,2018,879.0,95000.0
Roscommon,2019,817.0,107500.0
Roscommon,2020,739.0,100000.0
Roscommon,2021,933.0,128000.0
Roscommon,2022,940.0,150000.0
Roscommon,2023,895.0,165000.0
Roscommon,2024,602.0,180500.0
Sligo,2010,321.0,142000.0
Sligo,2011,234.0,114166.5
Sligo,2012,376.0,90000.0
Sligo,2013,423.0,90000.0
Sligo,2014,704.0,91600.0
Sligo,2015,670.0,95250.0
Sligo,2016,788.0,85750.0
Sligo,2017,781.0,109000.0
Sligo,2018,952.0,107000.0
Sligo,2019,870.0,129036.0
Sligo,2020,675.0,120000.0
Sligo,2021,954.0,148449.0
Sligo,2022,990.0,175165.0
Sligo,2023,863.0,184000.0
Sligo,2024,560.0,216500.0
Tipperary,2010,555.0,150000.0
Tipperary,2011,496.0,127500.0
Tipperary,2012,612.0,94837.5
Tipperary,2013,734.0,88250.0
Tipperary,2014,961.0,90000.0
Tipperary,2015,1281.0,100000.0
Tipperary,2016,1394.0,105000.0
Tipperary,2017,1585.0,117500.0
Tipperary,2018,1608.0,132000.0
Tipperary,2019,1666.0,139000.0
Tipperary,2020,1415.0,145374.0
Tipperary,2021,1649.0,165000.0
Tipperary,2022,1732.0,180000.0
Tipperary,2023,1716.0,199000.0
Tipperary,2024,1149.0,205000.0
Waterford,2010,459.0,170000.0
Waterford,2011,507.0,132015.0
Waterford,2012,590.0,100000.0
Waterford,2013,746.0,95000.0
Waterford,2014,1135.0,95000.0
Waterford,2015,1284.0,107714.5
Waterford,2016,1477.0,122000.0
Waterford,2017,1395.0,135000.0
Waterford,2018,1597.0,160000.0
Waterford,2019,1581.0,168000.0
Waterford,2020,1407.0,180000.0
Waterford,2021,1759.0,181000.0
Waterford,2022,1898.0,225000.0
Waterford,2023,1782.0,239669.0
Waterford,2024,1376.0,264299.0
Westmeath,2010,410.0,145000.0
Westmeath,2011,369.0,125000.0
Westmeath,2012,431.0,100000.0
Westmeath,2013,538.0,85000.0
Westmeath,2014,952.0,92000.0
Westmeath,2015,972.0,100000.0
Westmeath,2016,992.0,120000.0
Westmeath,2017,998.0,140000.0
Westmeath,2018,1036.0,165000.0
Westmeath,2019,1185.0,165000.0
Westmeath,2020,952.0,183500.0
Westmeath,2021,1125.0,200000.0
Westmeath,2022,1200.0,228000.0
Westmeath,2023,1297.0,245000.0
Westmeath,2024,892.0,271000.0
Wexford,2010,731.0,159000.0
Wexford,2011,626.0,128500.0
Wexford,2012,947.0,110000.0
Wexford,2013,1018.0,95500.0
Wexford,2014,1503.0,108000.0
Wexford,2015,1679.0,117000.0
Wexford,2016,1636.0,133318.5
Wexford,2017,1828.0,150000.0
Wexford,2018,1815.0,165000.0
Wexford,2019,1951.0,175000.0
Wexford,2020,1849.0,184000.0
Wexford,2021,2168.0,205000.0
Wexford,2022,2359.0,225000.0
Wexford,2023,2250.0,242290.0
Wexford,2024,1655.0,262500.0
Wicklow,2010,718.0,252246.0
Wicklow,2011,576.0,210000.0
Wicklow,2012,790.0,183260.5
Wicklow,2013,988.0,180237.5
Wicklow,2014,1340.0,215000.0
Wicklow,2015,1412.0,242145.0
Wicklow,2016,1446.0,260000.0
Wicklow,2017,1673.0,292500.0
Wicklow,2018,1624.0,297024.0
Wicklow,2019,1981.0,300000.0
Wicklow,2020,1739.0,315000.0
Wicklow,2021,2147.0,372000.0
Wicklow,2022,2173.0,383259.0
Wicklow,2023,2372.0,396475.0
Wicklow,2024,1898.0,414096.0
All,2010,,242910.2119624744
All,2011,,214570.40322143282
All,2012,,193576.36657862578
All,2013,,205919.7257231747
All,2014,,214599.21136535422
All,2015,,220101.00921537116
All,2016,,244594.42470006208
All,2017,,265694.94135291874
All,2018,,293750.7688678424
All,2019,,306669.58380191046
All,2020,,317568.7427954036
All,2021,,339489.43289120216
All,2022,,378157.0596036002
All,2023,,389150.5726989351
All,2024,,400906.1843148546
