Title,Location,Date Published,Submission Deadline,Resource ID,Info,Procedure,Status,Notice PDF,Award Date,Estimated Value,Cycle
Single Party Framework Agreement for Project Management Services for Atlantic Technological University Future Living Lab for all stages,Atlantic Technological University,29/10/2024 11:39:14,28/11/2024 13:00:00,4578459,ATU are seeking to Establish a Design Team for the development of a new building ATU Future Living Lab under the Technological Sector Strategic Project Fund TSSPF. Please refer to attached documentation for further information.,Restricted,Tender Submission,,,,1
IT Support Services,Wexford Local Development_1649,29/10/2024 11:08:37,19/11/2024 17:00:00,4573918,"We wish to identify a qualified and experienced IT service provider to support our organisation's technology needs. The scope of services includes, but is not limited to, network management, hardware and software support, cybersecurity, and IT consultancy.",Open,Tender Submission,,,,1
Introduction to Python 3 Training Courses,MIDAS Electronic Systems Skillnet,29/10/2024 11:00:06,05/11/2024 11:00:00,4577845,Introduction to Python 3 Training Courses,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4577845,,,1
L2H2 Medium Diesel Panel Van,Department of Housing Local Government and Heritage,29/10/2024 10:02:52,29/11/2024 12:00:00,4577371,"The department has a requirement for one L2H2 diesel panel van, to be delivered to Glenveagh National Park on or before the 6th December 2024.",Open,Tender Submission,,,"65,000.00",1
Preparation of a Preliminary Business Case to support the short-term modular affordable rental transition (“SMART”) Housing Programme - a key objective of the Limerick Mayoral Programme 2024-2029,Limerick City and County Council_103432,29/10/2024 09:56:56,12/11/2024 12:00:00,4553048,"Limerick City and County Council (LCCC) seeks to procure a multi-disciplinary team to prepare a Preliminary Business Case in accordance with the requirements of the Department of Public Expenditure Infrastructure Guidelines December 2023. The objective of the preliminary Business Case is to inform as to whether relocatable modular volumetric based solutions are a cost-effective delivery method for the provision of affordable rental homes, compared to other delivery options available.",Open,Tender Submission,,,,1
Contractor for Carpentry + Joinery Workshops Raheen CFET,Limerick and Clare Education and Training Board,29/10/2024 09:49:40,14/11/2024 12:00:00,4577437,Workshop Unit Installations for CFET Centre Raheen Campus,Open,Tender Submission,,,"1,200,000.00",1
Dredging Works and Removal of Dock Gate at Haulbowline Graving Dock,Department of Defence,29/10/2024 09:42:18,28/11/2024 12:00:00,4562421,"Refer to briefing documents. This is a Call for Tender in respect of Construction Works. Please note that: • tenderers must associate themselves with this Competition in order to access the tender documents, ask and receive clarifications and submit a tender response. To do so you must ensure you click “Proceed with Association”. This can only be done via login. • all responses must be submitted in a zipped file format and must be accurately named. • the Contracting Authority are not in a position to answer queries marked “confidential “ • Late tenders will not be accepted. Tenderers experiencing any difficulties should contact the e-tenders helpdesk at irish-eproc-helpdesk@eurodyn.com or by phone on +353 818001459.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4562421,,1.00,1
2023P180 - Provision Of Catering And Hospitality Services For The Central Bank Of Ireland,Central Bank of Ireland,29/10/2024 08:11:19,13/12/2024 12:00:00,4561171,"The Central Bank is responsible for both central banking and financial regulation and has the primary objective of promoting systemic financial stability in Ireland and across the euro area. It ensures the proper and effective regulation of financial institutions and markets in Ireland while also ensuring that the best interests of consumers of financial services are protected. The Central Bank is tendering for the provision of catering and hospitality services in its premises, currently its Dockland campus and its premises in Sandyford (but additional or alternative locations may become relevant over the course of the contract term). The scope of services includes catering and hospitality services, contract management services, and provision of software, hardware and an app to support cashless payments for the Central Bank’s locations. It is anticipated that all services to be provided by the successful Tenderer will be underpinned by technology and robust policies and procedures which will at all times reflect good industry practice within an environment of continuous improvement. The successful Tenderer will also support the Bank in its sustainability and Corporate and Social Responsibility (“CSR”) objectives. Tenderers should be aware, having regard to the nature of the Central Bank’s requirements that the estimated value of the Contract is the Central Bank’s best estimate of the anticipated total value of the services. That figure is an estimate only and the total value may be significantly lower, or indeed significantly higher than, that estimate.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561171,,"28,500,000.00",1
"ITC016F Multi Supplier Framework Agreement for the provision of Network and Firewall Products, Solutions, Ancillary Equipment and Associated Services",The Office of Government Procurement,29/10/2024 08:11:15,06/12/2024 15:00:00,4574076,"The Minister for Public Expenditure, National Development Plan Delivery and Reform (the “Contracting Authority”) is issuing this request for tenders (“RFT”) as a central purchasing body for use by the Framework Clients (defined below). The Office of Government Procurement (the “OGP”) is an office within the Department of Public Expenditure, National Development Plan Delivery and Reform tasked with sourcing goods and services on behalf of the public service. References to the Contracting Authority will be deemed to include the OGP. The Contracting Authority invites tenders (“Tenders”) from economic operators (“Tenderers”) for appointment to a multi-supplier framework agreement (the “Framework Agreement”) for the supply of goods and associated services as described in detail in Appendix 1 to this RFT (the “Goods and Services”).",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574076,,"75,000,000.00",1
ePortfolio Management System for Trinity College Dublin,Trinity College Dublin the University of Dublin_336,29/10/2024 08:10:59,15/11/2024 14:00:00,4557476,"Provision of an enterprise ePortfolio Management System for Trinity's internal school, hospital, clinic and GP placements",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4557476,,"166,000.00",1
"Data Strategy Development, Data Governance, Data Architecture, Data Engineering, and Data Integration service, AI Implementation and support as a Managed Service",Sustainable Energy Authority of Ireland,29/10/2024 08:10:46,25/11/2024 12:00:00,4574943,"In summary, the Services comprise: - Data Strategy Development, Data Governance, Data Architecture, Data Engineering, and Data Integration service, AI Implementation and support as a Managed Service. o Support the development and implementation of the SEAI data strategy, in addition to the planning and execution of the accompanying strategic roadmap o Provide Data Architecture expertise to support the implementation of Enterprise Data Warehouse (EDW) solutions and inform the SEAI Data Strategy and subsequent Roadmap o Support the implementation of Data Engineering related tooling in SEAI’s ecosystem, including but not limited to:  Microsoft Fabric  Azure Synapse  MS Purview  Data Engineering services o Support the design and implementation of strategic APIs o Support Services of provided systems o Support the implementation of AI based",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574943,,"5,000,000.00",1
"TEN2400267 - Architect led Design Team for proposed Construction Works Stages (ii) to (v) of the Cootehill Saint Michael's Hall, Cootehill, Co. Cavan for Cavan County Council.",Cavan County Council,29/10/2024 08:10:36,28/11/2024 12:00:00,4573423,"TEN2400267 - Architect led Design Team for proposed Construction Works Stages (ii) to (v) of the Cootehill Saint Michael's Hall, Cootehill, Co. Cavan for Cavan County Council. Please refer to Tender Documents for further details.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4573423,,"300,000.00",1
Request for Tenders for the Provision of Maintenance and Support of Voice and Data Services,Houses of the Oireachtas Service,29/10/2024 08:10:35,26/11/2024 12:00:00,4572354,"The Houses of the Oireachtas Commission (the “Contracting Authority”) invites tenders (“Tenders”) to this request for tenders (“RFT”) from economic operators (“Tenderers”) for the provision of the services as described in Appendix 1 to this RFT (the “Services”).In summary, the Services comprise: Maintenance and Support of Voice and Data Services. The Houses of the Oireachtas Service, a body corporate, (hereinafter referred to as “the Service”), acting on behalf of the Houses of the Oireachtas Commission (hereinafter referred to as “the Contracting Authority”), invites proposals from interested parties for the provision of a Voice and Data Network Maintenance and Support service for the Service. The Contracting Authority is responsible for the running of the Houses of the Oireachtas, or Irish Parliament, (Dáil Éireann, Seanad Éireann and Oireachtas Committees), and acts as governing body of the Service (further information is available at www.oireachtas.ie). The Service is authorised to act for and on behalf of the Contracting Authority and any requests made by the Service, of tenderers in accordance with the terms of this RFT during the tender process, are to be construed as being on the Contracting Authority’s behalf. A detailed specification of requirements is set out in Section 2.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4572354,,"660,000.00",1
Harvesting DPS 2025-2035,Coillte CGA,29/10/2024 08:10:23,,2982081,"The Dynamic Purchasing System will be used to procure a range of general harvesting services contracts across six geographic areas/Business Area Units (BAUs). To access the tender documentation for this competition please log on to Coillte’s Supplier Management System (SMS) – Proactis Portal by going to (http://www.coillte.ie/), click on ‘Our Business’ – ‘Forestry’ – ‘Suppliers’ - ‘SMS Portal’, or use the link below: LINK to SMS Portal: https://supplierlive.proactisp2p.com/Account/Login Please note that information relating to this tender, including clarifications and changes, will be published on Coillte’s Supplier Management System (SMS) - Proactis Portal.",Dynamic Purchasing System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=2982081,,"500,000,000.00",1
Provision of Learning Management (LMS) for Teagasc,Teagasc - the Agriculture and Food Development Authority,29/10/2024 08:10:22,10/12/2024 14:00:00,4574292,"Teagasc is conducting a competitive dialogue procurement process for the the supply, configuration, installation and commissioning of a Learning Management System (LMS) as a SaaS, Cloud Hosted Web Solution.",Competitive dialogue,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574292,,0.00,1
"Design Team Services for the delivery of 2 no. proposed Facility Centres for Water Sports Activities at Enniscrone and Rosses Point, Co. Sligo.",Sligo County Council,29/10/2024 08:01:30,02/12/2024 12:00:00,4570475,"Design Team Consultancy Services featuring an Engineer Lead Project Team with Civil, Structural, M and E and Building Services Engineering Skills for the delivery of 2 no. proposed Facility Centres for Water Sports Activities at Enniscrone and Rosses Point. Sligo County Council 'The Client' has received funding from Fáilte Ireland to construct 2 no. Facility Centres for Water Sports Activities at Enniscrone and Rosses Point, Co. Sligo. The scheme has an estimated value of €2.4 million including design team fees. An Bord Pleanála has approved the development. An Exemplar design and specification of the proposed building has been developed by MCA Architects who were procured by Fáilte Ireland to develop a universal and standardised design option for all the Facilities Centres proposed throughout Ireland. The appointed Design Team will adopt this developed Exemplar Design and specification into the proposed sites at Ennsicrone and Rosses Point, Co. SLigo.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4570475,,,1
"Request-for-Tenders dated 24/10/2024 to establish a Multi Supplier Framework Agreement for the supply of Parts, Tools, Equipment and Consumables primarily to the Automotive Technology Department TU Du",Technological University Dublin (TU Dublin),29/10/2024 08:01:21,15/11/2024 14:00:00,4574877,"TU Dublin wishes to establish a Multi Supplier Framework Agreement for the Provision of Automotive parts, paints, body panels, tool and body repair consumables to TU Dublin for teaching purposes. The framework agreement will be divided into six lots",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574877,,"510,000.00",1
Request for Tenders for the provision of Digital Services and Customer Relationship Management Platform,Louth County Council_381,29/10/2024 08:01:19,02/12/2024 18:00:00,4574992,"LCC seeks proposals for the provision, installation, hosting and support of a secure cloud based Customer Relationship Management (CRM) System with an integrated Digital Forms Platform and a Customer Web Portal.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574992,,"350,000.00",1
"Call for Tender (CfT). Framework Agreement for the Supply and Delivery of Musical Instruments, Equipment and Parts",Munster Technological University.,29/10/2024 08:01:07,03/12/2024 12:00:00,4572912,"This competition is to establish a Single Supplier Framework Agreement (“framework”) for the University’s Cork School of Music. This framework will be for the supply and delivery of musical instruments, PA equipment, lighting equipment, video equipment, microphones, equipment cases, cables and musical accessories – all of which will facilitate the delivery of the School’s academic programmes.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4572912,,,1
Claureen New Link Road,Clare County Council,29/10/2024 08:00:53,02/12/2024 16:00:00,4567402,"Claureen Link Road is approximately 650m in length . It will connect into a new proposed roundabout on the Drumcliffe Road/ Claureen Drive to the north and to a new arm on the N85/ Lahinch Road roundabout to the south. The scope of works of this contract involves : - Provision of a new link road; - Site Clearance; - Fencing, Boundary Treatments and Accommodation Works; - Drainage and culverts; - Earthworks; - Pavements, Kerbs, Footways and Paved Areas; - Traffic Signs and Road Markings; - Public Lighting; - Landscaping; - Services ducts for Utilities and Watermain works including diversions; - Footpath and cycletrack works",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4567402,,"7,500,000.00",1
"Ard Caher Phase 2, Louisburgh – A659",Mayo County Council_1127,29/10/2024 08:00:39,02/12/2024 17:00:00,4471485,"The development of 13 houses on a site of 0.74 hectares located to the rear of the existing (phase 1) Ard Caher housing estate, include all ancillary site works, summarised as follows: - Relocation of existing overhead utilities including undergrounding of ESB lines and new ESB poles. - Site clearance including removal of existing trees, gorse and bushes. - Removal and segregation of mixed debris, waste and rubble tipped on the site to a licenced landfill facility by a licenced haulage contractor - Removal of inert soil and rock material excavated from site to a licenced landfill facility by a licenced haulage contractor - Diversion of existing open drains flowing through the site and the construction of a new storm water pipework and attenuation system - The construction of 6 no. 4 bedroomed two storey end-of-terrace houses - The construction of 7 no. 3 bedroomed two storey terraced houses - The construction of new access road, car parking and green space. - A mixture of timber palisade and blockwork boundaries - Site development and surfacing works such as roads, paths and parking set to relevant falls. - New connections to public utilities for all units including Electricity, Telecoms, Water, Sewers, Storm drainage along with the provision of new street lighting and outlets for Electric Vehicle charging",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4471485,,,1
Request for Tenders for the provision of maintenance services for Met Eireann’s meteorological and environmental monitoring instrumentation and related infrastructure.,Met Eireann,28/10/2024 08:22:04,05/12/2024 15:00:00,4175865,"Met Éireann’s maintains a national network of automated climatological stations, which are referred to as CAMP network stations. The information from these sensors are recorded, stored and transmitted, utilising data loggers and associated communication equipment, to Met Éireann HQ, for input into the Met Éireann database. This tender relates to the provision of regular scheduled maintenance to these stations. The CAMP (Climate) network consists of 78 stations currently (this number is projected to increase to 81) located throughout the country, on a mixture of private and public land. Scheduled maintenance is completed on a 2 year rotational basis with approximately 40 sites being visited each year. All maintenance must be completed with adherence to the current WMO guidance , including, if acceptable, any amendment or update to same. Applicant should refer to https://wmo.int/about-us/governance/technical-commissions/standards-and-recommended-practices for the most recent publication. The tendering company will undertake, at a minimum, one scheduled maintenance visit to each site location every 2 year period, fulfilling the agreed requirements. The sites are grouped by region (see Site Regional Map in the Tender documentation) and the work schedule is normally planned to reflect this, However, if several issues occur at a particular station, then the scheduled maintenance for that particular site may be brought forward on occasion. Urgent, non scheduled maintenance may also be required on occasion to any of the network stations. The tenderer is invited to include, on a per station basis, a quotation for this work.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4175865,,"600,000.00",1
Event Management Services for Showcase Ireland Trade Fair,Design and Crafts Council Ireland,28/10/2024 08:21:45,24/11/2024 12:00:00,4561520,"The Contracting Authority wishes to award a contract for management services for the trade fair, known as Showcase Ireland, which the Contracting Authority intends to hold on a yearly basis and which has been held at the RDS, Ballsbridge, Dublin for the past number of years. The years involved in this agreement include 2026,2027,2028. The 3 day trade event has traditionally run in January of each year. Showcase - Ireland's Creative Expo is licensed by Design and Crafts Council Ireland (DCCI) and delivered by Showcase Case Design and Crafts Fair CLG, a subsidiary of DCCI. DCCI and Showcase work closely with Enterprise Ireland to promote the show internationally to existing and new potential buyers. The Local Enterprise Offices nationwide take a substantial area of the show to present new talent from around Ireland. 2024 was the 49th year of Showcase with trade buyers from over 2500 retail businesses from 26 countries. In 2024 attending buyers placed B2B sales orders of €26.3million over the 3 days. Trade buyers of fashion, jewellery, wellbeing and home and and giftware products attend Showcase at the RDS to source new and exciting products from over 400 exhibitors. Visit www.showcaseireland.com for more details.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561520,,,1
Achilles Qualification System Notice - Supply-Line Qualification System for Supplies October 2024.,Achilles Procurement Services Ltd (Buyer),28/10/2024 08:21:23,,4556792,"This notice updates and replaces the notice published on 31 May 2024 (CfT Resource ID 3330890) and covers all contracting entities using the Supply-Line system. Supply-Line is a qualification system operated by Achilles Procurement Services Ltd and used by a number of contracting entities in Ireland as a source for tenderer selection for contracts or frameworks valued above the EU thresholds: EUR 443000 for supplies and services; EUR 1 million for social and other specific services; EUR 5538000 for works contracts and works and services concessions. From time to time it is also used as a source for tenderer selection for contracts valued below the EU thresholds. At their discretion, the contracting entities may publish additional calls for competition for any or all of the procurement categories listed in the briefing document available from www.etenders.gov.ie using Resource ID 4556792. They may apply additional rules and criteria in relation to specific procurements, including site visits, Supply-Line Verify audits, etc.. They may opt, where deemed necessary, not to use supply-line and to publish a separate call for competition in the Official Journal of the European Union, to publish a separate notice in the national press or on www.etenders.gov.ie. Please note this notice covers the full range of contract categories across supplies - separate notices will be published for works and services. Information about the Qualification System and membership is available using the following link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf In addition to the qualification stage some of the buying organisations also require suppliers to be audited in accordance with the Achilles Supply-Line Verify Audit programme. Details are available using this link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf. Further information on the buyers using Supply-Line is available via the following link which provides up-to-date details on the current buyers using the system: https://pages.achilles.com/supply_line_qualification_system_notice.",Qualification System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4556792,,,1
"2024PR076 RFT for the provision of Cisco Network Equipment, Licenses, and Support to the NTMA",National Treasury Management Agency (NTMA),28/10/2024 08:21:22,25/11/2024 14:00:00,4564291,"The National Treasury Management Agency (NTMA) is seeking tenders for the provision of Cisco Network Equipment, Licenses, and Support. Please see the Request for Tenders (RFT) attached to this notice for further information.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4564291,,,1
The Supply of Workshop Consumables to Bus Éireann,Bus Eireann/Irish Bus,28/10/2024 08:21:04,26/11/2024 12:00:00,4567231,"Bus Éireann proposes awarding a Contract for the Supply of Garage Workshop Consumables, on an ‘as required’ basis, delivered to Bus Éireann Maintenance Garages nationwide. The consumables are required to support the ongoing maintenance and repairs of vehicles and equipment in Bus Éireann’s garage facilities. Consumables are to be delivered directly to the Bus Éireann garages nationwide. Consumables include but are not limited to the supply of Cutting discs, Duct tape, Oils, Sealants etcetera. The contract term will be for 36 months with an option for Bus Éireann to extend the contract for a further period of 12 or 24 months.",Negotiated with prior call for competition,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4567231,,"1,300,000.00",1
Achilles Qualification System Notice - Supply-Line Qualification System for Works October 2024,Achilles Procurement Services Ltd (Buyer),28/10/2024 08:20:55,,4556752,"This notice updates and replaces the notice published on 31 May 2024 (CfT Resource ID 3674040) and covers all contracting entities using the Supply-Line system. Supply-Line is a qualification system operated by Achilles Procurement Services Ltd and used by a number of contracting entities in Ireland as a source for tenderer selection for contracts or frameworks valued above the EU thresholds: EUR 443000 for supplies and services; EUR 1 million for social and other specific services; EUR 5538000 for works contracts and works and services concessions. From time to time it is also used as a source for tenderer selection for contracts valued below the EU thresholds. At their discretion, the contracting entities may publish additional calls for competition for any or all of the procurement categories listed in the briefing document available from www.etenders.gov.ie using Resource ID 4556752. They may apply additional rules and criteria in relation to specific procurements, including site visits, Supply-Line Verify audits, etc.. They may opt, where deemed necessary, not to use supply-line and to publish a separate call for competition in the Official Journal of the European Union, to publish a separate notice in the national press or on www.etenders.gov.ie. Please note this notice covers the full range of contract categories across works - separate notices will be published for supplies and services. Information about the Qualification System and membership is available using the following link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf In addition to the qualification stage some of the buying organisations also require suppliers to be audited in accordance with the Achilles Supply-Line Verify Audit programme. Details are available using this link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf. Further information on the buyers using Supply-Line is available via the following link which provides up-to-date details on the current buyers using the system: https://pages.achilles.com/supply_line_qualification_system_notice.",Qualification System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4556752,,,1
"Dublin City Council Expression of Interest for Emergency Repair and Stabilisation Works at the Iveagh Markets, Francis Street, Dublin 8",Dublin City Council,28/10/2024 08:20:42,02/12/2024 16:00:00,4509947,"Stage 1, Applicants will be assessed and short listed using the Suitability Assessment Questionnaire, the successful Applicants will become Candidates. A maximum number of 6 Applicants will be admitted to the Stage 2. Applicants, meeting all the suitability criteria and scoring the most marks against the qualitative criteria, will become Candidates. Prior to shortlisting for Stage 2, Candidates will be required to provide evidence of suitability. At Stage 2, Candidates will be invited to tender for the Iveagh Markets Enabling Works Project. Dublin City Council wishes to ensure the protection of the Iveagh Markets and safeguard the structure. The priority is to prevent further deterioration of the Protected Structure. Essential stabilisation and repair works (now called 'The Works') are required in order to safeguard the structure for future use. The Works shall consist of - 1) On foot of an approved Section 26 Archaeological License, the site shall be backfilled in accordance with the agreed strategy and/ or as modified by any conditions attached to that license. 2) Conservation repairs to the roofs, valleys, internal gutters, parapet and large rooflights of the Wet Market and Dry Market, including conservation repairs to the access ladders and gantries. 3) Conservation repairs/reinstatement of the rainwater disposal system. 4) Essential repairs to stabilise the inward leaning parapet of the north east corner of the Markets. 5) Essential repairs to stabilise the Diocletian style arched windows and associated brickwork in the Dry Market. 6) Manage vegetation growth to the site and its structures to ensure this does not further compromise the buildings. 7) Protect and secure the windows and doors. 8) Provide safe access to structures to facilitate a regular inspection and maintenance. 9) Identify and make safe any electrical connections and other utilities in the building.      10) Safely remove all lead-based paint from the internal structural members of the market buildings. It is intended that initial contract for Iveagh Markets will be awarded to the admissible Tender scoring the highest marks against the award criteria.. Please note that this project is subject to funding. For further information please refer to documentation available to download from www.etenders.gov.ie Resource ID xxxxxxx – Input when notice created.",Restricted,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4509947,,,1
8736 Train Protection System ETCS Level 1-Trackside National Rollout,Iarnród Eireann-Irish Rail,28/10/2024 08:20:41,09/12/2024 12:00:00,4566534,"The objective of the contract is to complete the fitment of ETCS Level 1 to the trackside infrastructure of IÉ. This includes inter alia; the design, supply, installation, testing and integration of the ETCS Trackside systems to the existing IE fleets . Also, part of scope is to complete all the necessary National and European safety approvals. The retrofit of the existing IÉ fleet with an onboard ETCS Class A train protection system is being procured separately and not included in this contract. A Maintenance Contract will follow in line with the implementation plan, and it is expected to be for a duration of up to 20 years. Both contracts will be subject to the terms and conditions of the contract and at IE discretion.",Negotiated with prior call for competition,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4566534,,,1
